Timestamp,UltrasonicMid,AnomalyPrediction
2024-04-20 09:50:46.541817427,90.0,False
2024-04-20 09:50:46.915802956,90.0,False
2024-04-20 09:50:47.540723801,90.0,False
2024-04-20 09:50:47.915818691,90.0,False
2024-04-20 09:50:48.541097641,90.0,False
2024-04-20 09:50:48.916238070,90.0,False
2024-04-20 09:50:49.539775848,90.0,False
2024-04-20 09:50:49.915483713,90.0,False
2024-04-20 09:50:50.540434361,90.0,False
2024-04-20 09:50:50.915344954,90.0,False
2024-04-20 09:50:51.540400982,90.0,False
2024-04-20 09:50:51.915035486,90.0,False
2024-04-20 09:50:52.532565594,1.2,True
2024-04-20 09:50:52.915377378,90.0,True
2024-04-20 09:50:53.538760900,90.0,False
2024-04-20 09:50:53.917738199,90.0,False
2024-04-20 09:50:54.542878389,90.0,False
2024-04-20 09:50:54.916131496,90.0,False
2024-04-20 09:50:55.041058064,1.7,True
2024-04-20 09:50:55.665567636,90.0,True
2024-04-20 09:50:55.915421247,90.0,False
2024-04-20 09:50:56.040426493,90.0,False
2024-04-20 09:50:56.665782213,90.0,False
2024-04-20 09:50:56.917152166,90.0,False
2024-04-20 09:50:57.540801287,90.0,False
2024-04-20 09:50:57.917354345,90.0,False
2024-04-20 09:50:58.539911509,90.0,False
2024-04-20 09:50:58.917042732,90.0,False
2024-04-20 09:50:59.541944504,90.0,False
2024-04-20 09:50:59.917017698,90.0,False
2024-04-20 09:51:00.541913033,90.0,False
2024-04-20 09:51:00.916953564,90.0,False
2024-04-20 09:51:01.542366028,90.0,False
2024-04-20 09:51:01.916576862,90.0,False
2024-04-20 09:51:02.541509151,90.0,False
2024-04-20 09:51:02.915795565,90.0,False
2024-04-20 09:51:03.540786028,90.0,False
2024-04-20 09:51:03.916748285,90.0,False
2024-04-20 09:51:04.541701317,90.0,False
2024-04-20 09:51:04.914783955,90.0,False
2024-04-20 09:51:05.538199186,90.0,False
2024-04-20 09:51:05.914773703,90.0,False
2024-04-20 09:51:06.539926291,90.0,False
2024-04-20 09:51:06.915140390,90.0,False
2024-04-20 09:51:07.540143251,90.0,False
2024-04-20 09:51:07.914773703,90.0,False
2024-04-20 09:51:08.539812326,90.0,False
2024-04-20 09:51:08.914923668,90.0,False
2024-04-20 09:51:09.539884090,90.0,False
2024-04-20 09:51:09.915002584,90.0,False
2024-04-20 09:51:10.540354967,90.0,False
2024-04-20 09:51:10.915404320,90.0,False
2024-04-20 09:51:11.540423632,90.0,False
2024-04-20 09:51:11.914813757,90.0,False
2024-04-20 09:51:12.535710095,90.0,False
2024-04-20 09:51:12.915925264,69.1,True
2024-04-20 09:51:13.541466713,90.0,True
2024-04-20 09:51:13.914040327,90.0,False
2024-04-20 09:51:14.038957119,90.0,False
2024-04-20 09:51:14.664222240,90.0,False
2024-04-20 09:51:14.915429354,90.0,False
2024-04-20 09:51:15.536176919,90.0,False
2024-04-20 09:51:15.915585995,90.0,False
2024-04-20 09:51:16.539682865,90.0,False
2024-04-20 09:51:16.914546967,90.0,False
2024-04-20 09:51:17.538231611,90.0,False
2024-04-20 09:51:17.919163227,90.0,False
2024-04-20 09:51:18.544299364,90.0,False
2024-04-20 09:51:18.915245533,90.0,False
2024-04-20 09:51:19.061988831,90.0,False
2024-04-20 09:51:19.687041283,90.0,False
2024-04-20 09:51:19.914570093,90.0,False
2024-04-20 09:51:20.538286448,90.0,False
