Timestamp,UltrasonicHead,UltrasonicMid,Latitude,Longitude,GyroX,GyroY,GyroZ,IRFront,IRBack,IsHeadObstacle,IsMidObstacle,IsStaircase
1713606646.5418174,120,90,0.0,0.0,-84.67877772312717,-9.962582116913826,84.75924297748679,False,False,0,0,0
1713606646.915803,120,90,0.0,0.0,-85.39066860837276,-9.954433790005293,85.46020630120206,False,False,0,0,0
1713606647.5407238,120,90,0.0,0.0,-84.98856839697079,-8.919812865874858,85.0493273217647,False,False,0,0,0
1713606647.9158187,120,90,0.0,0.0,-84.72001990643574,-10.229502049380255,84.80418161932454,False,False,0,0,0
1713606648.5410976,120,90,0.0,0.0,-85.06936537289033,-10.125382746486485,85.1463437566313,False,False,0,0,0
1713606648.916238,120,90,0.0,0.0,-84.9559533703368,-9.85420689367268,85.03055967708013,False,False,0,0,0
1713606649.5397758,120,90,0.0,0.0,-84.92373732842917,-9.942075268362608,85.00016414199193,False,False,0,0,0
1713606649.9154837,120,90,0.0,0.0,-85.06366405985844,-9.871778299902765,85.13692933156857,False,False,0,0,0
1713606650.5404344,120,90,0.0,0.0,-84.25006189447441,-9.987422293231282,84.33748434581571,False,False,0,0,0
1713606650.915345,71.1,90,0.0,0.0,-85.0752370472995,-9.782221427675434,85.14701282086048,False,False,0,0,0
1713606651.540401,120,90,0.0,0.0,-85.04683328688655,-10.062564397833773,85.12321111123573,False,False,0,0,0
1713606651.9150357,120,90,0.0,0.0,-84.50508222829546,-9.7796044948787,84.58517239187323,False,False,0,0,0
1713606652.5325656,120,1.2,0.0,0.0,-85.53924869177375,-9.82956131915257,85.60486246098958,False,False,0,1,0
1713606652.9153774,120,90,0.0,0.0,-84.46373836587628,-10.001753459022652,84.54813288412673,False,False,0,0,0
1713606653.538761,120,90,0.0,0.0,-85.1772623976948,-10.169132759459634,85.25319863296217,False,False,0,0,0
1713606653.9177382,120,90,0.0,0.0,-85.54050450186605,-9.943199560337591,85.607621269224,False,False,0,0,0
1713606654.5428784,120,90,0.0,0.0,-84.95514872223102,-10.358293109496111,85.03757453489908,False,False,0,0,0
1713606654.9161315,120,90,0.0,0.0,-85.10168342817617,-9.91616750555082,85.17503529178703,False,False,0,0,0
1713606655.041058,120,1.7,0.0,0.0,-84.39350223714986,-10.097458107161616,84.48061327079466,False,False,0,1,0
1713606655.6655676,120,90,0.0,0.0,-87.78195478651133,-9.839257027756451,87.81459586131223,False,False,0,0,0
1713606655.9154212,120,90,0.0,0.0,-85.34949031648553,-9.952373695917673,85.41962293723407,False,False,0,0,0
1713606656.0404265,120,90,0.0,0.0,-85.12652483157346,-10.251582926962664,85.20450972701695,False,False,0,0,0
1713606656.6657822,120,90,0.0,0.0,-85.4010009006813,-9.815616764338605,85.46846527041554,False,False,0,0,0
