Timestamp,UltrasonicHead,UltrasonicMid,Latitude,Longitude,GyroX,GyroY,GyroZ,IRFront,IRBack,IsHeadObstacle,IsMidObstacle,IsStaircase
1713607488.784044,120,90,0,0,-34.11581709631726,-3.556233786500569,34.278335052647144,False,True,0,0,0
1713607488.9309003,120,90,0,0,-34.683356994543935,-3.787041122661419,34.86373980210149,False,True,0,0,0
1713607489.5761285,120,90,0,0,-34.42717367540377,-3.5680981860265293,34.588883637926536,False,True,0,0,0
1713607489.786104,120,90,0.0,0.0,-35.32090025961751,-1.5147859182466583,35.34914777249112,False,True,0,0,0
1713607490.433204,120,90,0.0,0.0,-34.842244966425376,-5.258469842628065,35.1871590118576,False,True,0,0,0
1713607490.7843668,120,90,0.0,0.0,-35.1744275050681,-3.336066668465039,35.311963974279415,False,True,0,0,0
1713607490.9310026,120,90,0.0,0.0,-38.869771965664015,-4.865372370802126,39.12520127265613,False,True,0,0,0
1713607491.5683808,120,87.4,0.0,0.0,-31.96729846802813,-4.979003128653333,32.31207303595002,False,True,0,1,0
1713607491.7841077,120,76.9,0.0,0.0,-30.77367543210723,-7.870476008555391,31.66831372713253,False,True,0,1,0
1713607492.540719,120,73.3,0.0,0.0,-30.702343868522682,-9.994214557803256,32.13645021970861,False,True,0,1,0
1713607492.783683,120,71.8,0.0,0.0,-33.97403742993304,-9.11189165243909,35.03255394942658,False,True,0,1,0
1713607493.4504085,120,71.8,0.0,0.0,-31.12740220702444,-7.63897454881748,31.959434319355825,False,True,0,1,0
1713607493.7922006,120,77.5,0.0,0.0,-32.8603031345818,-4.428777865286683,33.12421451951713,False,True,0,1,0
1713607493.9309504,120,84.6,0.0,0.0,-33.55844091384958,-5.032616921546836,33.88997129733611,False,True,0,1,0
1713607494.5534341,100.8,86.9,0.0,0.0,-32.492945032887825,-0.5425631811939182,32.496978248573996,False,True,1,1,0
1713607494.784227,120,76.0,0.0,0.0,-30.642190876651032,-7.868336569133074,31.54091534724068,False,True,0,1,0
1713607495.61508,120,65.7,0.0,0.0,-30.448083451439533,-6.776627108225059,31.12230813768503,False,True,0,1,0
1713607496.5133746,120,90,0.0,0.0,-31.58604253554446,-6.547906732279346,32.18874958920116,False,True,0,0,0
